SMILES,InChI,Count
C1=NCCN1,MTNDZQHUAFNZQY-UHFFFAOYSA-N,5683
O=c1nccc[nH]1,VTGOHKSTWXHQJK-UHFFFAOYSA-N,5676
O=c1cccn[nH]1,AAILEWXSEQLMNI-UHFFFAOYSA-N,5467
C1CNCCNC1,FQUYSHZXSKYCSY-UHFFFAOYSA-N,5114
c1ccc2c(c1)CCCN2,LBUJPTNKIBCYBY-UHFFFAOYSA-N,5095
C1=CCNCC1,FTAHXMZRJCZXDL-UHFFFAOYSA-N,5040
O=C1CNC(=O)N1,WJRBRSLFGCUECM-UHFFFAOYSA-N,5033
c1ccc2nc3ccccc3cc2c1,DZBUGLKDJFMEHC-UHFFFAOYSA-N,4746
c1ncc2ccsc2n1,DDWBRNXDKNIQDY-UHFFFAOYSA-N,4710
O=C1NCc2ccccc21,PXZQEOJJUGGUIB-UHFFFAOYSA-N,4237
O=C1CNCCN1,IWELDVXSEVIIGI-UHFFFAOYSA-N,4166
O=C1CCC(=O)N1,KZNICNPSHKQLFF-UHFFFAOYSA-N,4099
c1cnc2[nH]cnc2c1,GAMYYCRTACQSBR-UHFFFAOYSA-N,4063
c1cnc2[nH]ncc2c1,GVLRTOYGRNLSDW-UHFFFAOYSA-N,3952
c1ccc2c(c1)CCO2,HBEDSQVIWPRPAY-UHFFFAOYSA-N,3858
c1ccc2c(c1)[nH]c1ccccc12,UJOBWOGCFQCDNV-UHFFFAOYSA-N,3721
O=c1[nH]cnc2[nH]cnc12,FDGQSTZJBFJUBT-UHFFFAOYSA-N,3713
C=C1SC(=S)NC1=O,ALDXAQBFSDSZJR-UHFFFAOYSA-N,3683
O=C1C=CC(=O)c2ccccc21,FRASJONUBLZVQX-UHFFFAOYSA-N,3669
O=C1C=CCO1,VIHAEDVKXSOUAT-UHFFFAOYSA-N,3660
O=C1CCCCN1,XUWHAWMETYGRKB-UHFFFAOYSA-N,3644
C=C1C(=O)Nc2ccccc21,IGXUUWYVUGBMFT-UHFFFAOYSA-N,3587
O=C1COc2ccccc2N1,QRCGFTXRXYMJOS-UHFFFAOYSA-N,3381
O=C1CCN1,MNFORVFSTILPAW-UHFFFAOYSA-N,3220
O=c1cc[nH][nH]1,XBYRMPXUBGMOJC-UHFFFAOYSA-N,3209
O=C1Cc2ccccc2N1,JYGFTBXVXVMTGB-UHFFFAOYSA-N,3204
O=c1[nH]ncc2ccccc12,IJAPPYDYQCXOEF-UHFFFAOYSA-N,3133
C1=C2[C@@H](CC[C@H]3CCCC[C@@H]23)[C@@H]2CC[C@H]3CCCC[C@@H]3[C@H]2C1,YRPBJZVSDMZVKO-OJHYWNACSA-N,3075
O=S1(=O)CCCC1,HXJUTPCZVOIRIF-UHFFFAOYSA-N,3021
O=C1C=CCN1,CDCHBOQVXIGZHA-UHFFFAOYSA-N,2994
c1cnc2ncnn2c1,SRNKZYRMFBGSGE-UHFFFAOYSA-N,2934
O=c1[nH]c2ccccc2[nH]1,SILNNFMWIMZVEQ-UHFFFAOYSA-N,2904
C1=NOCC1,WEQPBCSPRXFQQS-UHFFFAOYSA-N,2892
C1CO1,IAYPIBMASNFSPL-UHFFFAOYSA-N,2886
C=C1SC(=O)NC1=O,GXITUSCERRRNDI-UHFFFAOYSA-N,2884
O=C1CCCO1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,2847
c1ccc2c(c1)Cc1ccccc1-2,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,2835
c1ccc2c(c1)[nH]c1cnccc12,AIFRHYZBTHREPW-UHFFFAOYSA-N,2829
c1ccc2[nH]nnc2c1,QRUDEWIWKLJBPS-UHFFFAOYSA-N,2806
O=C1c2ccccc2C(=O)c2ccccc21,RZVHIXYEVGDQDX-UHFFFAOYSA-N,2800
O=C1NCCN1,YAMHXTCMCPHKLN-UHFFFAOYSA-N,2780
O=c1[nH]c(=O)c2ccccc2[nH]1,SDQJTWBNWQABLE-UHFFFAOYSA-N,2722
c1cn2ccnc2cn1,MBVAHHOKMIRXLP-UHFFFAOYSA-N,2680
O=C1NC=CCN1,QGKGASXQTBQINX-UHFFFAOYSA-N,2660
N=C1C(=O)Nc2ccccc21,DPUCWQUWEJBKPK-UHFFFAOYSA-N,2643
C1CCCCCC1,DMEGYFMYUHOHGS-UHFFFAOYSA-N,2594
